Adversary,Technique,Technique ID,SubTechnique,Data Source,API_ID
APT29,Mark-of-the-Web Bypass,T1553.005,Subvert Trust Controls,File: File Metadata,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
APT29,Mark-of-the-Web Bypass,T1553.005,Subvert Trust Controls,File: File Modification,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
APT29,Mark-of-the-Web Bypass,T1553.005,Subvert Trust Controls,Windows Registry: Windows Registry Key Modification,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
APT29,Mark-of-the-Web Bypass,T1553.005,Subvert Trust Controls,Command: Command Execution,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
APT29,Domain Fronting,T1090.004,Proxy,Network Traffic: Network Traffic Flow,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea
APT29,Domain Fronting,T1090.004,Proxy,Network Traffic: Network Connection Creation,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea
APT29,Domain Fronting,T1090.004,Proxy,Network Traffic: Network Traffic Content,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea
APT29,Additional Email Delegate Permissions,T1098.002,Account Manipulation,Active Directory: Active Directory Object Modification,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Additional Email Delegate Permissions,T1098.002,Account Manipulation,File: File Modification,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Additional Email Delegate Permissions,T1098.002,Account Manipulation,Group: Group Modification,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Additional Email Delegate Permissions,T1098.002,Account Manipulation,User Account: User Account Modification,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Additional Email Delegate Permissions,T1098.002,Account Manipulation,Command: Command Execution,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Additional Email Delegate Permissions,T1098.002,Account Manipulation,Process: Process Creation,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,File: File Metadata,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,File: File Modification,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,File: File Creation,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,Process: Process Creation,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,Windows Registry: Windows Registry Key Modification,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,WMI: WMI Creation,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,Module: Module Load,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,Cloud Service: Cloud Service Modification,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,Windows Management Instrumentation Event Subscription,T1546.003,Event Triggered Execution,Command: Command Execution,attack-pattern--b6301b64-ef57-4cce-bb0b-77026f14a8db
APT29,PowerShell,T1059.001,Command and Scripting Interpreter,Module: Module Load,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,PowerShell,T1059.001,Command and Scripting Interpreter,Process: Process Metadata,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,PowerShell,T1059.001,Command and Scripting Interpreter,Command: Command Execution,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,PowerShell,T1059.001,Command and Scripting Interpreter,Process: Process Creation,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,PowerShell,T1059.001,Command and Scripting Interpreter,Script: Script Execution,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Cloud Account,T1136.003,Create Account,User Account: User Account Creation,attack-pattern--e01be9c5-e763-4caf-aeb7-000b416aef67
APT29,Cloud Account,T1136.003,Create Account,Command: Command Execution,attack-pattern--e01be9c5-e763-4caf-aeb7-000b416aef67
APT29,Cloud Account,T1136.003,Create Account,Process: Process Creation,attack-pattern--e01be9c5-e763-4caf-aeb7-000b416aef67
APT29,Software Packing,T1027.002,Obfuscated Files or Information,Process: Process Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Software Packing,T1027.002,Obfuscated Files or Information,Command: Command Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Software Packing,T1027.002,Obfuscated Files or Information,Script: Script Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Software Packing,T1027.002,Obfuscated Files or Information,Windows Registry: Windows Registry Key Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Software Packing,T1027.002,Obfuscated Files or Information,Module: Module Load,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Software Packing,T1027.002,Obfuscated Files or Information,WMI: WMI Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Software Packing,T1027.002,Obfuscated Files or Information,File: File Metadata,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Software Packing,T1027.002,Obfuscated Files or Information,Process: OS API Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Software Packing,T1027.002,Obfuscated Files or Information,File: File Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Cloud Services,T1021.007,Remote Services,Process: Process Creation,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba
APT29,Cloud Services,T1021.007,Remote Services,Logon Session: Logon Session Creation,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba
APT29,Cloud Services,T1021.007,Remote Services,Network Traffic: Network Connection Creation,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba
APT29,Cloud Services,T1021.007,Remote Services,Module: Module Load,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba
APT29,Cloud Services,T1021.007,Remote Services,Network Traffic: Network Traffic Flow,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba
APT29,Cloud Services,T1021.007,Remote Services,Command: Command Execution,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba
APT29,Cloud Services,T1021.007,Remote Services,Network Share: Network Share Access,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Driver: Driver Load,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Script: Script Execution,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,User Account: User Account Modification,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Firewall: Firewall Disable,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Cloud Service: Cloud Service Modification,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Cloud Service: Cloud Service Disable,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Command: Command Execution,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Firewall: Firewall Rule Modification,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Service: Service Metadata,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Process: Process Creation,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Windows Registry: Windows Registry Key Deletion,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Process: Process Termination,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Windows Registry: Windows Registry Key Modification,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Disable or Modify Tools,T1562.001,Impair Defenses,Sensor Health: Host Status,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
APT29,Encrypted Channel,T1573,Asymmetric Cryptography,Network Traffic: Network Traffic Content,attack-pattern--bf176076-b789-408e-8cba-7275e81c0ada
APT29,Encrypted Channel,T1573,Symmetric Cryptography,Network Traffic: Network Traffic Content,attack-pattern--24bfaeba-cb0d-4525-b3dc-507c77ecec41
APT29,Spearphishing Attachment,T1566.001,Phishing,Application Log: Application Log Content,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing Attachment,T1566.001,Phishing,File: File Creation,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing Attachment,T1566.001,Phishing,Network Traffic: Network Traffic Content,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing Attachment,T1566.001,Phishing,Network Traffic: Network Traffic Flow,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Python,T1059.006,Command and Scripting Interpreter,Module: Module Load,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Python,T1059.006,Command and Scripting Interpreter,Process: Process Metadata,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Python,T1059.006,Command and Scripting Interpreter,Command: Command Execution,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Python,T1059.006,Command and Scripting Interpreter,Process: Process Creation,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Python,T1059.006,Command and Scripting Interpreter,Script: Script Execution,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Spearphishing Link,T1566.002,Phishing,Application Log: Application Log Content,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing Link,T1566.002,Phishing,File: File Creation,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing Link,T1566.002,Phishing,Network Traffic: Network Traffic Content,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing Link,T1566.002,Phishing,Network Traffic: Network Traffic Flow,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,Process: Process Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,Command: Command Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,Script: Script Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,Windows Registry: Windows Registry Key Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,Module: Module Load,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,WMI: WMI Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,File: File Metadata,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,Process: OS API Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,HTML Smuggling,T1027.006,Obfuscated Files or Information,File: File Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Mshta,T1218.005,System Binary Proxy Execution,Network Traffic: Network Connection Creation,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4
APT29,Mshta,T1218.005,System Binary Proxy Execution,File: File Creation,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4
APT29,Mshta,T1218.005,System Binary Proxy Execution,Command: Command Execution,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4
APT29,Mshta,T1218.005,System Binary Proxy Execution,Process: Process Creation,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4
APT29,Mshta,T1218.005,System Binary Proxy Execution,Process: OS API Execution,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4
APT29,Mshta,T1218.005,System Binary Proxy Execution,Windows Registry: Windows Registry Key Modification,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4
APT29,Mshta,T1218.005,System Binary Proxy Execution,Module: Module Load,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4
APT29,Digital Certificates,T1587.003,Develop Capabilities,Malware Repository: Malware Content,attack-pattern--edadea33-549c-4ed1-9783-8f5a5853cbdf
APT29,Digital Certificates,T1587.003,Develop Capabilities,Internet Scan: Response Content,attack-pattern--edadea33-549c-4ed1-9783-8f5a5853cbdf
APT29,Digital Certificates,T1587.003,Develop Capabilities,Malware Repository: Malware Metadata,attack-pattern--edadea33-549c-4ed1-9783-8f5a5853cbdf
APT29,Cloud API,T1059.009,Command and Scripting Interpreter,Module: Module Load,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Cloud API,T1059.009,Command and Scripting Interpreter,Process: Process Metadata,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Cloud API,T1059.009,Command and Scripting Interpreter,Command: Command Execution,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Cloud API,T1059.009,Command and Scripting Interpreter,Process: Process Creation,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Cloud API,T1059.009,Command and Scripting Interpreter,Script: Script Execution,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830
APT29,Scheduled Task,T1053.005,Scheduled Task/Job,File: File Modification,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
APT29,Scheduled Task,T1053.005,Scheduled Task/Job,Scheduled Job: Scheduled Job Creation,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
APT29,Scheduled Task,T1053.005,Scheduled Task/Job,Process: Process Creation,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
APT29,Scheduled Task,T1053.005,Scheduled Task/Job,Container: Container Creation,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
APT29,Scheduled Task,T1053.005,Scheduled Task/Job,Command: Command Execution,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
APT29,Scheduled Task,T1053.005,Scheduled Task/Job,File: File Creation,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
APT29,Remote Email Collection,T1114.002,Email Collection,File: File Access,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f
APT29,Remote Email Collection,T1114.002,Email Collection,Logon Session: Logon Session Creation,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f
APT29,Remote Email Collection,T1114.002,Email Collection,Application Log: Application Log Content,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f
APT29,Remote Email Collection,T1114.002,Email Collection,Command: Command Execution,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f
APT29,Remote Email Collection,T1114.002,Email Collection,Network Traffic: Network Connection Creation,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,File: File Modification,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,File: File Creation,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,Process: OS API Execution,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,Windows Registry: Windows Registry Key Modification,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,Driver: Driver Load,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,Module: Module Load,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,Process: Process Creation,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,Windows Registry: Windows Registry Key Creation,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
APT29,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution,Command: Command Execution,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
